W;S;OT;WT;G;LM;OM3
2;8618;90;122,5;0;0;0
2;8618;40;152,2222222;0;0;0
2;8618;163,5;237,125;0;0;0
2;8618;32;122,2222222;0;0;0
2;8618;2657,44;595,5555556;0;0;0
2;8618;822;1060,5;0;0;0
2;8618;3009,04;2511,111111;0;0;0
2;8618;3195;367,85;0;0;0
2;8618;583,2;1672,222222;0;0;0
2;8618;526,4;6053,333333;6830;4683,333333;689,0625
2;8618;1455;6030,5;10934,66667;8716,8;722
2;8618;46,4;154,4444444;0;0;0
2;8618;340,8;113,1375;0;0;0
2;8618;100,5;121,625;794,6666667;237,6;50
2;8618;56;447,7777778;690;362,5;73,125
2;8618;45;181,125;329,3333333;278,4;24
2;8618;68,8;462,2222222;810;386,6666667;90
2;8618;70,5;539;496;724,8;34,66666667
2;8618;29,6;163,3333333;378,75;145;39,375
2;8618;120;333,375;888;517,2;59,33333333
2;8618;0;191,1111111;0;128,3333333;0
2;8618;105;727,125;786,6666667;987,6;52
2;8618;292,64;67,88888889;0;0;0
2;8618;360,45;142,3625;0;0;0
2;8618;103,2;85,66666667;0;0;0
2;8618;58,5;97,125;0;0;0
2;8618;102;160,125;0;0;0
2;8618;44,32;40,33333333;0;0;0
2;8618;256,05;17,9375;0;0;0
2;8618;102,16;78,66666667;0;0;0
2;8618;204,45;82,775;0;0;0
2;8618;190,8;147,8888889;0;0;0
2;8618;73,5;107,625;0;0;0
2;8618;64;190;0;0;0
2;8618;573,15;64,6625;0;0;0
2;8618;88,8;13;0;0;0
2;8618;417,15;40,95;0;0;0
2;8618;241,68;193,8888889;0;0;0
2;8618;100,48;73,77777778;0;0;0
2;8618;76,05;22,6625;0;0;0
2;8618;29,6;142,2222222;0;0;0
2;8618;36;37,625;0;0;0
2;8618;432,8;1334,444444;0;0;0
2;8618;1039,5;1864,625;0;0;0
2;8618;437,6;1513,333333;0;0;0
2;8618;468;1508,888889;0;0;0
2;8618;955,5;2016,875;7558,666667;3298,8;472,6666667
2;8618;514,4;5274,444444;6320;4119,166667;675
2;8618;2265,15;868,875;0;0;0
2;8618;1228,72;984;0;0;0
2;8618;628,5;1515,5;4384;2398,8;311,3333333
2;8618;23,2;161,1111111;287,5;133,3333333;30
2;8618;72;119,875;500;210;36
2;8618;19,2;128,8888889;227,5;107,5;25,3125
2;8618;144;265,125;1006,666667;451,2;71,33333333
2;8618;52;414,4444444;622,5;335;67,5
2;8618;87;329,875;670,6666667;478,8;43,33333333
2;8618;36,8;872,2222222;502,5;630;48,75
2;8618;448,95;144,2;0;0;0
2;8618;100,72;18,66666667;0;0;0
2;8618;199,5;100,5375;0;0;0
2;8618;102,56;98,77777778;0;0;0
2;8618;321,75;109,2875;0;0;0
2;8618;28,8;87,77777778;0;0;0
2;8618;48;110,25;0;0;0
2;8618;34,4;138,8888889;0;0;0
2;8618;108;145,25;0;0;0
2;8618;65,6;1,111111111;0;0;0
2;8618;516;28,4375;0;0;0
2;8618;58,8;12,22222222;0;0;0
2;8618;234,9;77,4375;0;0;0
2;8618;42,4;194,4444444;0;0;0
2;8618;51;78,75;0;0;0
2;8618;57,6;375,5555556;713,75;315,8333333;75
2;8618;105;266,875;777,3333333;417,6;52
2;8618;67,2;430;836,25;363,3333333;88,125
2;8618;123;330,75;929,3333333;517,2;61,33333333
2;8618;84,8;463,3333333;1071,25;410;110,625
2;8618;694,65;0,7875;0;0;0
2;8618;266,56;129,7777778;0;0;0
2;8618;114,9;38,0625;0;0;0
2;8618;97,68;80,22222222;0;0;0
2;8618;97,5;307,125;668;459,6;48
2;8618;61,6;375,5555556;761,25;320;79,6875
2;8618;105;368,375;748;547,2;52
2;8618;76,8;685,5555556;1035;550,8333333;100,3125
2;8618;620,1;48,7375;0;0;0
2;8618;255,68;303,5555556;0;0;0
2;8618;379,5;115,675;0;0;0
2;8618;105,04;112,5555556;0;0;0
2;8618;78;91,875;0;0;0
2;8618;21,6;74,44444444;0;0;0
2;8618;243,9;29,4875;0;0;0
2;8618;46,56;40,55555556;0;0;0
2;8618;90;141,75;0;0;0
2;8618;40,8;147,7777778;0;0;0
2;8618;57;91;0;0;0
2;8618;131,76;26,11111111;0;0;0
2;8618;282,96;218,7777778;0;0;0
2;8618;414,75;133,9625;0;0;0
2;8618;93,68;71;0;0;0
2;8618;60;137,375;0;0;0
2;8618;28,8;110;0;0;0
2;8618;100,5;91;0;0;0
2;8618;197,52;184,8888889;0;0;0
2;8618;420,15;118,3875;0;0;0
2;8618;45,6;137,7777778;0;0;0
2;8618;1342,5;26,5125;0;0;0
2;8618;67,44;11,11111111;0;0;0
2;8618;203,1;83,3875;0;0;0
2;8618;48,8;111,1111111;0;0;0
2;8618;888;1302,875;0;0;0
2;8618;1012,5;1620,5;0;0;0
2;8618;1,5;416,5;1,333333333;513,6;0,666666667
2;8618;35,2;128,8888889;0;0;0
2;8618;72;92,75;0;0;0
2;8618;57,6;352,2222222;700;300;75
2;8618;133,5;290,5;922,6666667;472,8;66,66666667
2;8618;52;257,7777778;631,25;230,8333333;67,5
2;8618;112,5;321,125;801,3333333;490,8;56
2;8618;48,8;476,6666667;600;373,3333333;63,75
2;8618;81;375,375;585,3333333;528;40
2;8618;3,2;535,5555556;43,75;364,1666667;4,6875
2;8618;0;164,5;0;202,8;0
2;8618;57,6;881,1111111;748,75;659,1666667;75
2;8618;148,5;534,625;1108;790,8;74
2;8618;534,72;3,777777778;0;0;0
2;8618;293,25;43,75;0;0;0
2;8618;111,68;86,22222222;0;0;0
2;8618;93;157,5;0;0;0
2;8618;60;253,3333333;0;0;0
2;8618;81,6;69,11111111;0;0;0
2;8618;184,65;58,275;0;0;0
2;8618;40,8;172,2222222;0;0;0
2;8618;72;84;0;0;0
2;8618;67,2;154,4444444;0;0;0
2;8618;84;96,25;0;0;0
2;8618;13,92;15,44444444;0;0;0
2;8618;138;123,375;0;0;0
2;8618;359,28;50,66666667;0;0;0
2;8618;599,1;58,275;0;0;0
2;8618;239,92;37,11111111;0;0;0
2;8618;154,8;42,2625;0;0;0
2;8618;20;80;0;0;0
2;8618;66;147,875;522,6666667;238,8;32,66666667
